Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
2023-06-26 11:30:49.575,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,29,209,115,0,24,0,0,21,0,108
2023-06-26 11:30:49.577,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,29,209,115,0,24,0,0,22,0,108
2023-06-26 11:32:47.989,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,29,210,115,0,24,0,0,22,0,108
2023-06-26 11:32:47.994,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,29,210,116,0,24,0,0,22,0,108
2023-06-26 11:32:55.854,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,29,210,116,0,25,0,0,23,0,108
2023-06-26 11:32:55.865,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,29,210,116,0,25,0,0,23,0,108
2023-06-26 11:32:58.725,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,210,116,0,25,0,0,23,0,108
2023-06-26 11:34:00.707,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,211,116,0,25,0,0,23,0,108
2023-06-26 11:34:00.71,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,211,117,0,25,0,0,23,0,108
2023-06-26 11:34:41.884,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,212,117,0,25,0,0,23,0,108
2023-06-26 11:34:41.887,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,212,118,0,25,0,0,23,0,108
2023-06-26 11:34:58.581,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,212,118,0,26,0,0,23,0,108
2023-06-26 11:34:58.582,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,30,212,118,0,26,0,0,24,0,108
2023-06-26 11:35:03.457,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,31,212,118,0,26,0,0,24,0,108
2023-06-26 11:37:08.571,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,31,213,118,0,26,0,0,24,0,108
2023-06-26 11:37:08.576,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,31,213,119,0,26,0,0,24,0,108
2023-06-26 11:37:09.773,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,3,0,1,0,40,0,0,0,0,0,11,31,213,119,0,26,0,0,24,0,111
2023-06-26 11:37:09.783,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,4,0,1,0,40,0,0,0,0,0,11,31,213,119,0,26,0,0,24,0,111
2023-06-26 11:37:09.866,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,4,0,1,0,40,0,0,0,0,0,11,31,214,119,0,26,0,0,24,0,111
2023-06-26 11:37:09.869,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,2,0,1,0,0,2,0,2,42,0,6,51,0,4,0,1,0,40,0,0,0,0,0,11,31,214,120,0,26,0,0,24,0,111
